Metric:,Average Sales Price
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,140 - West Seattle,380 - Southeast Seattle,390 - Central Seattle,385 - SODO/Beacon Hill

Filters
140 - West Seattle:,""
380 - Southeast Seattle:,""
390 - Central Seattle:,""
385 - SODO/Beacon Hill:,""


Date,"140 - West Seattle","380 - Southeast Seattle","390 - Central Seattle","385 - SODO/Beacon Hill",
January 2006,401789,384714,516659,345847,
February 2006,390359,382991,530692,329238,
March 2006,424133,405847,569839,319042,
April 2006,443737,440977,576761,323619,
May 2006,458926,454492,590347,333193,
June 2006,450738,449753,593179,321532,
July 2006,452645,458374,580774,325678,
August 2006,445797,459022,583855,335612,
September 2006,438626,462248,562887,359841,
October 2006,433107,441408,562072,361645,
November 2006,434317,444612,551137,363900,
December 2006,429381,443498,556630,368440,
January 2007,411470,441106,560362,420697,
February 2007,403398,450639,557897,439859,
March 2007,421497,429479,566840,438351,
April 2007,440320,451111,599798,394397,
May 2007,451148,459571,629773,379297,
June 2007,455127,483783,652784,374858,
July 2007,464231,493520,641543,383159,
August 2007,469797,515285,631984,393834,
September 2007,468883,521426,599086,407940,
October 2007,469364,556659,599587,397691,
November 2007,469380,540993,548853,384664,
December 2007,462875,547278,534642,384760,
January 2008,453531,487625,532814,394778,
February 2008,447093,443144,604428,407956,
March 2008,445058,436655,639463,382249,
April 2008,444470,435117,633912,370840,
May 2008,450958,463465,583976,365765,
June 2008,476874,483000,623392,364216,
July 2008,467404,475864,614744,360488,
August 2008,454547,449812,637352,355911,
September 2008,425190,393112,582889,350505,
October 2008,416072,447060,560228,350676,
November 2008,402439,451911,526818,351015,
December 2008,387133,468674,527875,351761,
January 2009,371314,385302,498648,359348,
February 2009,352045,382432,523452,344583,
March 2009,356330,381370,494792,349805,
April 2009,353509,401360,507514,327391,
May 2009,391237,436446,525389,312442,
June 2009,388290,433941,507471,316368,
July 2009,390653,399155,489649,311564,
August 2009,397084,344739,465045,319405,
September 2009,392765,341620,513679,308507,
October 2009,402657,347335,536848,308623,
November 2009,381185,357052,533001,311488,
December 2009,385624,351114,538890,333009,
January 2010,362330,367880,538849,348666,
February 2010,353859,370100,591547,353247,
March 2010,351238,373008,531120,309215,
April 2010,369351,351224,551874,303128,
May 2010,373904,385360,545477,297190,
June 2010,381980,375766,585981,328938,
July 2010,384020,392063,610900,321736,
August 2010,399620,350870,613173,317830,
September 2010,401826,341474,604977,276728,
October 2010,381393,324721,572393,263416,
November 2010,364578,339971,557244,269112,
December 2010,358589,361218,546998,254891,
January 2011,362446,388187,512086,266775,
February 2011,359832,354339,505099,262621,
March 2011,364652,349232,498638,259629,
April 2011,358718,311853,534056,254656,
May 2011,353760,327278,548250,251836,
June 2011,340103,332977,571100,276508,
July 2011,340963,367597,597673,281087,
August 2011,341485,379121,609666,278213,
September 2011,344422,376521,584208,264570,
October 2011,349727,353887,557083,265150,
November 2011,337295,335861,523145,263392,
December 2011,335903,311467,517947,265965,
January 2012,319249,288248,480891,256342,
February 2012,327157,290024,479860,246732,
March 2012,322924,330593,519818,228992,
April 2012,346681,346854,562332,239644,
May 2012,360174,349459,560267,249624,
June 2012,367321,344225,550977,252411,
July 2012,366878,347677,538396,261021,
August 2012,376831,347013,562632,270406,
September 2012,373568,339348,573981,286720,
October 2012,374845,347047,583769,279529,
November 2012,363618,358031,614169,279760,
December 2012,376846,349093,636461,271286,
January 2013,370879,340294,638759,275655,
February 2013,363642,340254,567985,263429,
March 2013,364801,379555,514268,264079,
April 2013,380511,406875,542333,269923,
May 2013,396463,431019,602326,279720,
June 2013,403518,420103,654625,292772,
July 2013,408322,426354,662557,314693,
August 2013,407861,408328,624971,330255,
September 2013,410175,413966,595032,337191,
October 2013,413650,405674,581164,339345,
November 2013,407505,404271,610749,332972,
December 2013,395021,392393,613321,343798,
January 2014,398459,379447,655847,332271,
February 2014,406820,397557,611032,335208,
March 2014,420494,413812,620538,334780,
April 2014,412583,422252,636531,340617,
May 2014,417761,420309,689600,359270,
June 2014,426721,470069,706797,354613,
July 2014,435358,524422,687019,359440,
August 2014,440746,514999,669570,347410,
September 2014,448381,497854,642327,354587,
October 2014,451475,438306,648641,355115,
November 2014,456228,454627,653275,360190,
December 2014,447130,451301,682150,366060,
January 2015,451164,470627,684440,383221,
February 2015,455275,479718,660547,398823,
March 2015,456888,480216,635951,416911,
April 2015,464187,516016,646951,411326,
May 2015,464599,528285,692548,400218,
June 2015,477867,521734,740348,406558,
July 2015,482853,504524,739796,411222,
August 2015,492630,501541,731730,422048,
September 2015,495086,531328,707895,418952,
October 2015,492970,547837,721024,433011,
November 2015,501803,547210,710459,432230,
December 2015,523265,551341,704690,441882,
January 2016,549090,550812,686494,446266,
February 2016,559179,555213,707403,463337,
March 2016,547492,569134,742749,466756,
April 2016,539264,553560,790992,475252,
May 2016,538926,556223,812891,481037,
June 2016,565028,555460,799001,474169,
July 2016,577457,583668,811067,472326,
August 2016,578563,590611,791132,484318,
September 2016,559426,604661,770725,494056,
October 2016,554052,563131,753584,481863,
November 2016,544468,562671,762066,480590,
December 2016,540366,547406,769306,485275,
January 2017,522115,558377,744437,507525,
February 2017,529899,555603,740312,498447,
March 2017,560910,572610,785504,515598,
April 2017,598017,613201,823683,536885,
May 2017,613939,649665,827055,554070,
June 2017,630453,672158,846663,585042,
July 2017,630984,678284,859113,588514,
August 2017,635118,694567,876834,596823,
September 2017,629008,719779,880721,580156,
October 2017,634778,722936,889772,599754,
November 2017,628154,711835,918335,593371,
December 2017,649018,679567,926903,596898,
January 2018,675286,689753,918053,594362,
February 2018,700841,688677,893918,631997,
March 2018,718116,744245,890832,649974,
April 2018,690709,768159,972099,664434,
May 2018,712806,794655,1035320,644794,
June 2018,697509,783186,1102425,670594,
July 2018,705664,747893,1093619,668998,
August 2018,682900,690447,1068837,662391,
September 2018,697964,666072,991553,617872,
October 2018,670489,664119,952095,620370,
November 2018,664920,668884,986371,584814,
December 2018,650906,660381,1001413,591440,
January 2019,658522,632942,1011304,582604,
February 2019,647264,661550,926095,613478,
March 2019,645484,676731,912929,618216,
April 2019,673131,717821,892972,624277,
May 2019,705671,748272,895527,622169,
June 2019,709044,787749,917330,624692,
July 2019,698057,800401,910118,627353,
August 2019,703755,771889,914902,621068,
September 2019,700627,748629,953945,612305,
October 2019,703279,744563,1010066,590324,
November 2019,660721,755640,1096785,588658,
December 2019,658861,768375,1089508,597372,
January 2020,669691,733170,1047562,610049,
February 2020,686873,687306,965126,619224,
March 2020,722862,705698,896611,648407,
April 2020,739906,757340,892591,659962,
May 2020,741357,827032,928450,667429,
June 2020,726159,793715,1014721,640520,
July 2020,724294,772127,1025919,652024,
August 2020,737367,761116,1059729,673318,
September 2020,733568,765979,1058879,687648,
October 2020,734689,773261,1059100,681874,
November 2020,739154,760796,1030110,668947,
December 2020,744188,750578,1023909,671570,
January 2021,742111,757699,1014266,664833,
February 2021,738716,755943,962017,649284,
March 2021,746894,786400,952153,668373,
April 2021,778845,788754,1021357,675513,
May 2021,820901,828375,1111751,707943,
June 2021,837276,855149,1138340,723425,
July 2021,838325,957868,1126694,732735,
August 2021,824500,942830,1058396,728242,
September 2021,818312,939455,1043633,698399,
October 2021,803221,913956,1028450,697514,
November 2021,786617,893366,1107038,685145,
December 2021,781863,878685,1088679,713576,
January 2022,758984,789556,1093329,719099,
February 2022,774675,810430,1015983,727935,
March 2022,838516,895228,1022205,737089,
April 2022,933660,981168,1005414,795246,
May 2022,972117,1026135,1079119,843600,
June 2022,963875,1040775,1098242,871244,
July 2022,946381,981428,1147768,836524,
August 2022,902883,944325,1091697,798270,
September 2022,886532,841817,1115492,735374,
October 2022,868961,887920,1142738,741239,
November 2022,878724,915090,1166243,725243,
December 2022,874936,925504,1120818,727706,
January 2023,854084,889017,1036117,681197,
February 2023,798986,755146,1003717,682356,
March 2023,801289,861330,998150,680077,
April 2023,809531,853767,1028718,695417,
May 2023,855354,918026,1016709,708778,
June 2023,865407,914855,1073934,722678,
July 2023,891066,924879,1074453,724109,
August 2023,874886,905807,1167986,715531,
September 2023,891875,861821,1170954,688084,
October 2023,875107,840199,1171747,684147,
November 2023,890001,868391,1112861,681476,
December 2023,899005,856600,984527,684213,
January 2024,885961,878475,1039867,681382,
February 2024,878848,832552,1099595,691424,
March 2024,859755,884997,1210582,700187,
April 2024,940138,951717,1136447,732641,
May 2024,962533,998747,1128787,748479,
June 2024,974965,1020949,1149864,823981,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


