Metric:,Median Price Per Square Foot
Time Calculation:,Rolling 3 Months
Data from:,7/2/2024
Segments:,700 - Queen Anne/Magnolia,701 - Belltown/Downtown Seattle,705 - Ballard/Greenlake,710 - North Seattle

Filters
700 - Queen Anne/Magnolia:,""
701 - Belltown/Downtown Seattle:,""
705 - Ballard/Greenlake:,""
710 - North Seattle:,""


Date,"700 - Queen Anne/Magnolia","701 - Belltown/Downtown Seattle","705 - Ballard/Greenlake","710 - North Seattle",
January 2006,307,490,250,229,
February 2006,305,470,251,231,
March 2006,304,470,254,239,
April 2006,307,466,254,245,
May 2006,328,483,256,248,
June 2006,333,483,263,258,
July 2006,345,484,268,264,
August 2006,338,493,274,268,
September 2006,349,531,275,271,
October 2006,347,548,277,265,
November 2006,353,543,272,263,
December 2006,356,515,270,253,
January 2007,374,521,270,255,
February 2007,374,501,280,260,
March 2007,361,539,285,265,
April 2007,359,542,288,269,
May 2007,358,544,291,272,
June 2007,359,545,294,273,
July 2007,371,556,295,271,
August 2007,376,558,302,275,
September 2007,377,554,308,280,
October 2007,368,535,308,291,
November 2007,365,532,294,285,
December 2007,363,545,280,270,
January 2008,366,547,275,257,
February 2008,354,567,285,260,
March 2008,355,541,291,262,
April 2008,354,529,290,267,
May 2008,362,524,287,271,
June 2008,337,538,285,273,
July 2008,336,534,287,271,
August 2008,339,533,284,262,
September 2008,337,510,282,260,
October 2008,328,521,269,262,
November 2008,318,523,267,254,
December 2008,317,581,258,242,
January 2009,314,630,257,238,
February 2009,321,624,252,239,
March 2009,320,503,256,231,
April 2009,309,476,252,231,
May 2009,304,477,251,236,
June 2009,302,469,248,249,
July 2009,301,468,247,248,
August 2009,295,457,248,246,
September 2009,289,453,248,240,
October 2009,292,437,245,242,
November 2009,292,425,240,243,
December 2009,287,431,237,243,
January 2010,282,448,234,236,
February 2010,283,471,235,238,
March 2010,281,438,239,231,
April 2010,286,429,246,234,
May 2010,290,431,249,236,
June 2010,298,438,254,238,
July 2010,296,435,250,240,
August 2010,287,448,244,238,
September 2010,281,427,235,236,
October 2010,274,453,234,232,
November 2010,280,429,233,227,
December 2010,273,431,230,230,
January 2011,279,407,227,215,
February 2011,249,432,228,212,
March 2011,267,450,220,203,
April 2011,274,463,223,213,
May 2011,269,435,224,218,
June 2011,254,419,233,217,
July 2011,253,423,232,211,
August 2011,254,404,230,212,
September 2011,254,388,223,214,
October 2011,247,378,221,215,
November 2011,249,395,221,207,
December 2011,247,413,218,200,
January 2012,256,413,219,198,
February 2012,253,383,219,198,
March 2012,254,403,226,206,
April 2012,267,396,233,214,
May 2012,274,438,241,220,
June 2012,276,444,246,224,
July 2012,276,453,246,225,
August 2012,274,420,244,226,
September 2012,276,401,244,225,
October 2012,266,421,245,225,
November 2012,266,437,248,219,
December 2012,262,448,245,217,
January 2013,274,459,245,213,
February 2013,288,451,247,219,
March 2013,289,489,259,231,
April 2013,302,492,268,234,
May 2013,304,479,269,236,
June 2013,307,456,271,245,
July 2013,303,455,270,246,
August 2013,307,466,271,247,
September 2013,307,463,274,245,
October 2013,310,473,276,245,
November 2013,313,483,276,242,
December 2013,314,490,273,237,
January 2014,317,488,272,234,
February 2014,311,519,278,235,
March 2014,317,519,293,244,
April 2014,324,515,297,244,
May 2014,333,497,297,261,
June 2014,345,500,300,271,
July 2014,348,494,297,272,
August 2014,347,500,301,275,
September 2014,348,500,296,278,
October 2014,342,502,299,277,
November 2014,338,489,298,274,
December 2014,327,483,295,272,
January 2015,328,479,294,276,
February 2015,341,497,301,278,
March 2015,355,517,315,286,
April 2015,369,531,332,292,
May 2015,379,535,335,302,
June 2015,384,550,337,309,
July 2015,388,548,335,305,
August 2015,389,595,335,304,
September 2015,390,633,335,303,
October 2015,391,693,336,308,
November 2015,394,637,341,313,
December 2015,393,607,337,314,
January 2016,400,612,344,318,
February 2016,406,626,382,322,
March 2016,419,646,410,335,
April 2016,441,627,409,350,
May 2016,451,637,391,355,
June 2016,452,601,382,341,
July 2016,449,640,385,336,
August 2016,449,670,385,334,
September 2016,444,738,389,337,
October 2016,437,785,386,336,
November 2016,431,697,388,343,
December 2016,435,668,387,347,
January 2017,449,672,391,355,
February 2017,466,691,408,370,
March 2017,472,720,426,398,
April 2017,476,713,435,406,
May 2017,483,711,444,410,
June 2017,492,714,448,407,
July 2017,496,722,456,407,
August 2017,497,748,456,407,
September 2017,492,806,453,411,
October 2017,492,791,446,411,
November 2017,506,795,451,413,
December 2017,516,786,459,414,
January 2018,534,789,463,421,
February 2018,569,837,476,439,
March 2018,561,880,488,459,
April 2018,571,879,511,461,
May 2018,566,874,510,458,
June 2018,569,856,502,459,
July 2018,558,835,493,454,
August 2018,551,824,488,437,
September 2018,534,779,478,426,
October 2018,520,772,464,418,
November 2018,506,752,448,414,
December 2018,509,745,448,408,
January 2019,505,740,447,398,
February 2019,523,744,450,413,
March 2019,536,752,469,421,
April 2019,538,745,471,420,
May 2019,538,741,480,425,
June 2019,529,738,473,434,
July 2019,538,741,473,437,
August 2019,537,739,465,431,
September 2019,527,733,461,426,
October 2019,513,725,459,426,
November 2019,503,714,461,415,
December 2019,508,708,455,410,
January 2020,495,683,459,399,
February 2020,507,715,471,421,
March 2020,525,761,487,432,
April 2020,537,780,489,446,
May 2020,535,792,496,452,
June 2020,532,783,501,459,
July 2020,525,763,502,457,
August 2020,533,755,502,466,
September 2020,536,757,503,460,
October 2020,546,740,492,462,
November 2020,543,729,483,448,
December 2020,538,713,479,441,
January 2021,541,729,496,440,
February 2021,554,720,510,449,
March 2021,580,718,530,463,
April 2021,583,733,534,486,
May 2021,590,757,546,509,
June 2021,586,766,547,516,
July 2021,590,756,555,519,
August 2021,585,778,555,517,
September 2021,588,845,556,519,
October 2021,589,836,559,506,
November 2021,582,845,559,506,
December 2021,584,792,561,500,
January 2022,577,813,567,494,
February 2022,612,782,592,522,
March 2022,637,785,619,560,
April 2022,657,790,637,596,
May 2022,655,816,647,596,
June 2022,665,823,641,586,
July 2022,656,813,619,571,
August 2022,652,753,585,558,
September 2022,620,757,572,533,
October 2022,609,785,572,517,
November 2022,592,785,562,503,
December 2022,584,742,559,510,
January 2023,580,706,546,504,
February 2023,581,728,551,507,
March 2023,592,743,554,524,
April 2023,602,761,576,526,
May 2023,610,761,579,527,
June 2023,611,780,581,523,
July 2023,607,798,575,526,
August 2023,609,803,582,540,
September 2023,623,769,573,547,
October 2023,613,751,568,541,
November 2023,606,722,562,527,
December 2023,583,751,558,520,
January 2024,569,754,571,512,
February 2024,571,806,578,536,
March 2024,592,772,586,567,
April 2024,615,772,586,593,
May 2024,621,740,600,588,
June 2024,634,727,601,565,


"All data from Northwest Multiple Listing Service®. InfoSparks © 2024 ShowingTime."


